first	second	opt	dist	bytes
11111000110010100110100011101000100	11110001111010010010010010111000100	8	8	5452896
11110111010010011100010010010100100	11100101101001010011101001110000100	16	16	632464088
11110011000101010100101110001101000	11101100011010010011010010111000100	18	18	881855752
11100111100010011100001111001000100	11001111100001100011001100101101000	12	12	124555104
11011111100000011110010010011000100	11101001110100110100011001001100100	18	19	970456536
11110010010011010100110110110000100	11111100100001001101011000101011000	14	14	320083880
11100011010100110011100111000100100	11100101011011000111000011101001000	18	18	943743240
11101000101111100010100011100011000	11101101010001100110101001010011000	15	15	473559008
11010110010100111001110010100100100	11110010100110101110000110001010100	14	14	378770136
11101100011011010100110000101100100	11100110001110111111000001000110000	16	16	548875168
10111011000111110001001000111000100	11011001010011110001100110010010100	19	20	1024981400
11111001001001101010010011100101000	11101001110010100100110101110001000	13	13	253816744
11110010010011101001100110001110000	11100111001010011000110010110010100	17	17	825454672
10110100110111110001000110010011000	11011100110010010011010011100100100	20	21	1049662856
11111100001001110010011000101011000	11111000010110001111000101100011000	13	13	259867168
11101001101011000100110110110000100	11100110011001110000111100010100100	13	13	171282688
11110100100101001111001001001110000	10111100101001001101110001110100000	14	14	344887576
11100010111110010010101001100110000	10111011110101001000001101100100100	17	18	709603776
11111000100101101000110101001011000	11100101100011001111000101010011000	13	13	224612176
11100111100011101000111000100010100	11011001001101010011011110100100000	19	19	985380568
10111001001111001011000100101110000	11001100110100101110110001001010100	17	17	758860072
11111100011011000011010001100010100	11110110000100111000110111001000100	18	18	881905168
11111000110111011000100010110000100	11011110101100001010010100101101000	22	22	1039421648
11001111100011010011000110001100100	11111001001010100111000110001010100	7	7	2154488
11100111110100000110011000110100100	11111001010001101001100100110010100	11	11	78947728
11100110001111110110000001011001000	11111001001001011001001110100010100	16	16	661076816
10111110110001010001010010101011000	11011010011001011010100101001011000	15	15	445030632
11111110100000110101010010010101000	11001111001110000100101110010011000	18	18	867714296
11110100001111110100011000100010100	11111100001001100100101110001100100	14	14	360574848
11010011110100010011011001001100100	11001100111101100011000100110100100	19	19	1002914256
11001110010100110111000110001100100	11111100001010010011110001100010100	13	13	227697328
11110011000111101001001010010100100	11011100010010110101110010001100100	18	18	938751368
11011111000010010100111000111000100	11111100000011100110001100111000100	13	13	219626992
