first second opt dist central
11100110111000100011001110010011000 11101110000111000101110100100100100 20 20 25
11101010110001010100110100111001000 11100111100110001100100011100100100 19 19 26
11100011111100010100101001100100100 11110110001001100111010010010011000 20 20 24
11011100001111000101100100110011000 11100111001110010100011001001100100 21 21 26
11100101110100110010101001010011000 10111010001011101011100010001100100 20 20 25
11110010011110001001110100001110000 11101110010011000110011010010011000 20 20 26
11100011111100010110101001001010000 11010101010100110110010011110000100 17 17 22
10110011101101001110001001110001000 11100111100100001111000100110110000 20 21 25
11101000111111100001100100010100100 11110011100011010001111001001001000 20 20 23
11010100110111010100011000111001000 11110101010001011011000111000010100 21 21 25
11110011000110111010001101000110000 11101001110100100110001101001010100 20 20 24
10101101001110011110100100011100000 11110100011010101000110110001011000 22 23 25
10110111001110001001010011001100100 11111101100100100101010001011001000 21 21 24
11110100101000111101000110001110000 11100111110001001001110100110001000 20 20 24
11011110100001100100111100001100100 11101001100111010100001111000101000 17 17 23
11010011111001100111000010100010100 11100101110100001111001000101101000 18 18 22
11100110101000110011100101100010100 11101010001111100011100010011010000 21 21 26
11101100010011001111100010001010100 11100110001110010011100011011010000 19 19 26
11110100011100110110000101001010100 11011110100101000011110010010101000 19 19 25
11110011001001101100011001001101000 11011000111101101000100101010010100 20 20 24
11110001001110011001010101100011000 11011010011101010001010010101110000 19 20 24
11101010011001010011100101111000000 11111001011000100110111010000101000 16 16 22
11110010110001001110001100110011000 11011110001011110000100101100100100 21 21 24
11011000110101111000001010110010100 11100111001010011000111101010010000 19 19 24
11101110010101000111100110001010000 11111000100011011100110001100011000 21 23 25
11111101000011101001001100010101000 11110011001010010011011010100010100 20 20 26
11111111000100010110010100101000100 10110101110110000110001101100110000 22 23 24
11101001100110010100110110100100100 11100111100100011001001100110011000 19 19 24
11010011110100100101001110101000100 11111100100011000110010011001101000 19 19 25
11101001010011100111100110010000100 11100110100111100001100010110011000 21 21 25
11110011010101000111000011010010100 11110100100101100011100111100001000 20 20 26
11010111100100011101000011010010100 11110100110010010011011001001101000 19 20 24
11011101000011111100010001001011000 11011001100111100010001100111010000 19 19 24
11011111100001010011001110110000000 11110010010101010011010011100110000 20 20 25
10111110111010001001100010100101000 11110001011101000101100010110010100 21 22 25
11101001011010001100110110010010100 11011010010011111100001001001101000 19 19 23
11111010010000111010110000111010000 11100111101101000010001011101001000 18 18 26
11010011001111100100011000111001000 10111011100100110001100011100010100 19 19 25
11110000111001110000111110000100100 11101110000111000110100101001011000 19 19 24
10111101001100100110110100011001000 11001111011001010100100011100100100 22 22 24
11110110010010111000001111001010000 11001100111110001011000101100010100 21 21 23
11001110010101110100010100111010000 11101001001101110010100011001011000 18 18 23
10111101100010011001101100100110000 11111011001100011001000100101011000 21 21 26
11010101001110001100110010111001000 11100010111100101110000101001100100 20 22 25
11011111100000110100101100101000100 11100110001100111101110000100101000 21 21 25
11111001010100011001110000110100100 10111101111000100011001001010011000 19 19 26
11001110110001111000100110001110000 11110110001001011100011000111100000 19 19 23
10111110000111000100101111000010100 11110010011110000011010011100101000 19 19 25
11110100101011000011001101001110000 11111001001100101011000110011001000 17 17 22
11111100100100101001110010011000100 11101010100110110010011111000001000 18 18 24
11111011000111100010000110010011000 11001011100101100100110011001110000 20 21 24
11001100111010101100001010111010000 10110011111100100101100001001101000 17 17 25
11101110010100100011100010101100100 10101011101011100010001101100011000 20 20 27
11110100101001100111011000001100100 11110101001010011101100010010011000 17 17 26
11101001111000011001110001001101000 11110011100010010100110100110100100 18 18 24
11011101001110100100111010001001000 11111010000110100100101110110010000 23 24 26
11110110001010011100111001000100100 11111001110100011010100100001011000 21 21 25
11111001010011001100010011011000100 11101001011110010001001101100011000 19 19 26
