first	second	opt	dist	central	visited
110110001011111001011000110100000	111000111101001101000111000101000	20	21	24	284056056
111010100101100011010011101100000	111110001111000011110000001011000	19	19	24	282337352
111011000011101100010110001100100	111001111000001111000101010011000	17	17	24	247849808
111101100010011110001001100011000	111100101001100110110000101110000	18	18	24	284928440
111101011001010011001010101001000	111000111001101111001000100100100	21	22	23	290592760
111011101001010010001100101100100	111001101101000101111010000011000	19	21	23	277486920
111110011001001100100111100010000	101111111000010011100100010011000	20	20	23	288556304
111001011100101110000111100100000	101110011110110000010011100011000	18	18	22	274459712
111001111001001010011001001110000	111011000101110000110100110011000	15	15	20	218875816
111111000110001100110110010000100	111011101001010001100100110011000	19	19	23	276447792
111001100110001111010000111001000	101110011001101000101011001010100	19	19	23	285223376
111110101001110011000011110000000	111100010011011101010001110100000	17	17	21	270284320
111011001100011110100001001110000	101011101101010001001111000010100	18	18	23	281790520
110111111101000000100011100101000	111110001010100111100110000100100	19	20	21	286865656
111101001101000111000110001100100	111101010001110001011000111001000	18	18	22	280758408
110111010011100010001111100010000	111100011001111010010001100011000	20	20	21	289036400
111111001001010100011100111000000	111101001001110010100110001011000	19	19	24	281365360
111101001010100100110110101000100	111001001100111010101011000011000	18	18	24	254410968
111100011111001000011101000101000	101101111000101101001000110010100	20	20	23	287647432
111101000011100111000110011000100	111001110000111011011000010101000	16	16	24	221778816
111011101010001010011011000101000	110011110010110001011000111010000	18	18	22	266090296
111010011000111100100011101010000	110101001111000100111000110010100	16	16	23	225509632
111010011010001111010000111010000	101110110100010010110011010010100	17	17	24	241261424
101111001011000111100001001100100	111111001001010111000011100100000	19	19	22	287993456
111001101001001011001100111000100	101111000111100100011101010001000	22	22	25	286270720
111010101101000110011101010000100	110011110011010001100100110011000	19	19	22	281708880
111111001000111000010111011000000	111010010100111100111001000011000	19	20	23	280976712
111001111001001100100110001010100	110111100001001110011100010101000	20	20	24	287204600
101110101001100111110000100010100	111101000111100001110010010110000	21	22	23	288241080
111111000101001100110001100011000	101111000111101001001000111010000	19	20	23	288029472
